paper_id,title,has_demand,demand_count,has_compliance,compliance_count,decision,acceptance
5sRnsubyAK,Neuroacoustic Patterns: Constant Q Cepstral Coefficients for the Classification of Neurodegenerative Disorders,False,0,False,0,,
J1SGf2lyr6,A Feature-Aware Federated Learning Framework for Unsupervised Anomaly Detection in 5G Networks,False,0,False,0,,
49ti6LOUw5,UnoLoRA: Single Low-Rank Adaptation for Efficient Multitask Fine-tuning,False,0,False,0,,
zkNCWtw2fd,"Synergistic Approach for Simultaneous Optimization of Monolingual, Cross-lingual, and Multilingual Information Retrieval",False,0,False,0,Reject,False
viQ1bLqKY0,EXecution-Eval: Can language models execute real-world code?,True,1,False,0,Reject,False
vdUYa7N8Mt,The Rate-Distortion-Perception Trade-Off with Algorithmic Realism,False,0,True,2,Reject,False
PwxYoMvmvy,Beyond Random Masking: When Dropout meets Graph Convolutional Networks,False,0,True,1,Accept (Poster),True
YaRzuMaubS,Defining Deception in Decision Making,False,0,False,0,Reject,False
ONfWFluZBI,Self-supervised contrastive learning performs non-linear system identification,False,0,True,1,Accept (Poster),True
Ql7msQBqoF,"MAC-CAFE: Multi-actor, Centralized Critic Architecture for Feedback-driven Editing",False,0,False,0,Reject,False
NHe6guO3l6,Achieving Exact Federated Unlearning with Improved Post-Unlearning Performance,False,0,False,0,Reject,False
LJWPYzjDz4,Extending Flexibility of Image Coding Enhancement Framework for IoTs,False,0,False,0,,
llW4qRsF0o,Physics-Transfer Learning: A Framework to Address the Accuracy-Performance Dilemma in Modeling Complexity Problems in Engineering Sciences,False,0,False,0,Reject,False
DlZ97cVwr0,Exploring the Recall of Language Models: Case Study on Molecules,True,1,False,0,Reject,False
0vtftmYQGV,SNAP-TTA: Sparse Test-Time Adaptation for Latency-Sensitive Applications,False,0,True,1,Reject,False
DnBjhWLVU1,Recovering Plasticity of Neural Networks via Soft Weight Rescaling,False,0,False,0,Reject,False
TIxiwxd4iD,BanglaGITI: A Novel Dataset for Bangla Music Genre Classification with A Comprehensive Analysis,False,0,False,0,,
9DrPvYCETp,Shared Memory for Multi-agent Lifelong Pathfinding,False,0,True,1,Reject,False
odjMSBSWRt,DarkBench: Benchmarking Dark Patterns in Large Language Models,False,0,False,0,Accept (Oral),True
Of5F2GdGLA,"VeSX: A Framework Featured by Verification, Self-Correction and In-context Learning for Web Automation Tasks",False,0,False,0,Reject,False
Y0kmI2zqqi,Stochastic Sparse Sampling: A Framework for Variable-Length Medical Time Series Classification,False,0,False,0,,
qK6U4Ahfms,OpenCity: A Scalable Platform to Simulate Urban Activities with Massive LLM Agents,False,0,False,0,Reject,False
drrXhD2r8V,Structure-Aware Parameter-Efficient Machine Unlearning on Transformer Models,False,0,False,0,Reject,False
hWF0HH8Rr9,Large-Scale Multi-Agent Reinforcement Learning for Traffic Signal Optimization,False,0,False,0,Reject,False
owR9ofvkFQ,MathOdyssey: Benchmarking Mathematical Problem-Solving Skills in Large Language Models Using Odyssey Math Data,False,0,False,0,,
vVlNBaiLdN,ESMGain: Effective and Efficient Prediction of Mutation’s functional Effect via ESM2 Transfer Learning and robust Benchmarks,False,0,False,0,Reject,False
FYvZCwdb6F,MOMENTUM MEETS VIRALITY: A NOVEL METRIC FOR UNMASKING SOCIAL BIAS IN VIRAL TWEETS,False,0,False,0,,
Hw1tOjCWBZ,KARPA: A Training-free Method of Adapting Knowledge Graph as References for Large Language Model's Reasoning Path Aggregation,False,0,False,0,,
gaa7gWPZBz,Mitigating Privacy Risk of Adversarial Examples with Counterfactual Explanations,False,0,False,0,Reject,False
imT03YXlG2,Sparse autoencoders reveal selective remapping of visual concepts during adaptation,False,0,True,1,Accept (Poster),True
gtVo4xcpFI,GenBen:A Genarative Benchmark for LLM-Aided Design,False,0,False,0,Reject,False
orr5uPZY28,DySpec: Faster Speculative Decoding with Dynamic Token Tree Structure,False,0,False,0,Reject,False
hz3NtNpDNv,Hottel Zone Physics-Constrained Networks for Furnaces,False,0,False,0,,
qnAZqlMGTB,StreamingBench: Assessing the Gap for MLLMs to Achieve Streaming Video Understanding,False,0,False,0,Reject,False
