s2_paper_id,arxiv_id,title,year,citation_count,community,is_seed
3dcfa05a1c162e6cab927c5b08d0444f7b6691f4,2102.12452,"Probing Classifiers: Promises, Shortcomings, and Advances",2021.0,843,causal,False
5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,2021.0,407,causal,True
1d7f3297924a9dd90cfc0df522ebe9138c28b46f,,Amnesic Probing: Behavioral Explanation with Amnesic Counterfactuals,2020.0,276,causal,False
cb1b5d949a1d711b1bd3a2924e045ad3f893252c,2303.02536,Finding Alignments Between Interpretable Causal Variables and Distributed Neural Representations,2023.0,184,causal,False
6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,2023.0,163,causal,True
3f7fa58806614a1f38ae760c25c1305e3a87d4ce,2305.08809,Interpretability at Scale: Identifying Causal Mechanisms in Alpaca,2023.0,125,causal,True
b311dec6aa6963e51c21fc9a89988a7c369145bc,,A Calculus for Stochastic Interventions: Causal Effect Identification and Surrogate Experiments,2020.0,91,causal,False
e8e2876b446b08a4a461aae389f72b7edfd62c3a,1906.11583,Approximate Causal Abstraction,2019.0,81,causal,False
15a0869cee792546dad6190e9420627395a16610,2105.06965,Counterfactual Interventions Reveal the Causal Effect of Relative Clause Representations on Agreement Prediction,2021.0,76,causal,False
d9a449e1123ca37375c9977f51b7ea6129905803,2402.17700,RAVEL: Evaluating Interpretability Methods on Disentangling Language Model Representations,2024.0,70,causal,False
59b988fda9c1737465921a9bade731d511500718,,"The Quest for the Right Mediator: A History, Survey, and Theoretical Grounding of Causal Interpretability",2024.0,57,causal,False
fecdcfec13a295b1810606baf9b74ba48db7933e,2402.12560,CausalGym: Benchmarking causal interpretability methods on linguistic tasks,2024.0,46,causal,False
