source_s2id,source_arxiv,source_title,source_community,source_year,target_s2id,target_arxiv,target_title,target_community,target_year
4115605949049ba24cbe329776315f846236dcf5,2605.08348,How Much Do Circuits Tell Us? Measuring the Consistency and Specificity of Langu,circuits,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
5c8fe257bea8837eeb3bb7fe7b66e6006d8cc255,2603.18353,Interpretability without actionability: mechanistic methods cannot correct langu,mi_general,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
d58b4a9c7f26bf5fc106ba282badedfbc64d4658,2605.10815,Probing Cross-modal Information Hubs in Audio-Visual LLMs,mi_general,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024.0,6d2b13928cf9db71a0c245bbbdbdb7a07bd9247d,2211.11665,Representational dissimilarity metric spaces for stochastic neural networks,mi_general,2022
c9f6d6485556b6214360f6b3f630c829176fc1ec,2605.05115,Manifold Steering Reveals the Shared Geometry of Neural Network Representation a,mi_general,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
b8f280d8bf685f8da7c83068e73f000528072d6b,2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in ,circuits,2024.0,0d8f8092ea3ee98a4ab5b797a7b5c0287c73ce36,2403.17806,Have Faith in Faithfulness: Going Beyond Circuit Overlap When Finding Model Mech,circuits,2024
851822435103ade081e7a6f2701504aa6edeb121,2605.24577,Polymorphism Is Rotation: Operational Mechanistic Interpretability from a Two-La,mi_general,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023.0,04c84f1b0c5e218ffbc5c0ba5ed9c2c62e63f28e,2104.03514,Low-Complexity Probing via Finding Subnetworks,mi_general,2021
6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023.0,f680d47a51a0e470fcb228bf0110c026535ead1b,2301.05217,Progress measures for grokking via mechanistic interpretability,mi_general,2023
5d7156ce2c39b7aa36c52bac017c64611cf9ef62,2602.14111,Sanity Checks for Sparse Autoencoders: Do SAEs Beat Random Baselines?,sae,2026.0,54e200091d986715707f454b2985be898eaebad1,2501.16615,Sparse Autoencoders Trained on the Same Data Learn Different Features,sae,2025
5752b7946cd25eea6a5e94847bf5d734346f9855,2606.16193,Cascaded Sparse Autoencoders Learn Multi-Level Visual Concepts in Multimodal LLM,sae,2026.0,890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024
3ea2a9930e7bbf6a6c2e3488ea5b7a325a73e701,2605.08740,"Causal Dimensionality of Transformer Representations: Measurement, Scaling, and ",mi_general,2026.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
